"f:\projects\maxLogic\MaxLogicFoundation\maxlogic.strutils.pas",942,32,O804,O804 Method parameter 'vs' is declared but never used
"f:\projects\maxLogic\MaxLogicFoundation\maxlogic.strutils.pas",746,7,O805,O805 Inline marked routine 'TFilterEx.Preprocess' comes after its call in the same unit
"..\src\Dcr.Messages.pas",47,3,O802,O802 ResourceString 'SSourceUnitAliases' is declared but never used
"..\src\Dcr.Messages.pas",15,3,O802,O802 ResourceString 'SInvalidArgs' is declared but never used
"..\src\Dcr.Messages.pas",48,3,O802,O802 ResourceString 'SSourceLibraryPath' is declared but never used
"..\src\Dcr.Messages.pas",49,3,O802,O802 ResourceString 'SSourceUnknown' is declared but never used
"..\src\Dcr.Messages.pas",89,3,O802,O802 ResourceString 'SFixInsightRunExit' is declared but never used
"..\src\Dcr.Messages.pas",50,3,O802,O802 ResourceString 'SSourceDproj' is declared but never used
"..\src\Dcr.Messages.pas",24,3,O802,O802 ResourceString 'SRegistryLibraryMissing' is declared but never used
"..\src\Dcr.Messages.pas",52,3,O802,O802 ResourceString 'SSourceRegistry' is declared but never used
"..\src\Dcr.Messages.pas",64,3,O802,O802 ResourceString 'SInfoEnvVarCount' is declared but never used
"..\src\Dcr.Messages.pas",20,3,O802,O802 ResourceString 'SFileNotFound' is declared but never used
"..\src\Dcr.Messages.pas",45,3,O802,O802 ResourceString 'SSourceSearchPath' is declared but never used
"..\src\Dcr.Messages.pas",21,3,O802,O802 ResourceString 'SAssociatedDprojMissing' is declared but never used
"..\src\Dcr.Messages.pas",51,3,O802,O802 ResourceString 'SSourceOptset' is declared but never used
"..\src\Dcr.Messages.pas",54,3,O802,O802 ResourceString 'SUnhandledException' is declared but never used
"..\src\Dcr.Messages.pas",84,3,O802,O802 ResourceString 'SFixInsightNotFound' is declared but never used
"..\src\Dcr.Messages.pas",46,3,O802,O802 ResourceString 'SSourceUnitScopes' is declared but never used
"..\src\Dcr.Messages.pas",86,3,O802,O802 ResourceString 'SFixInsightPathInvalid' is declared but never used
"..\src\Dcr.Messages.pas",55,3,O802,O802 ResourceString 'SInfoOptions' is declared but never used
"..\src\Dcr.Messages.pas",22,3,O802,O802 ResourceString 'SInfoAssociatedDproj' is declared but never used
"..\src\Dcr.Messages.pas",44,3,O802,O802 ResourceString 'SSourceDefines' is declared but never used
"..\src\Dcr.Messages.pas",53,3,O802,O802 ResourceString 'SSourceEnvOptions' is declared but never used
"f:\projects\maxLogic\MaxLogicFoundation\maxlogic.strutils.pas",1259,3,O803,O803 Constant 'CFNVOffsetBasis32' is declared but never used
"f:\projects\maxLogic\MaxLogicFoundation\maxlogic.strutils.pas",1260,3,O803,O803 Constant 'CFNVPrime32' is declared but never used
"f:\projects\maxLogic\MaxLogicFoundation\maxlogic.strutils.pas",14,3,O803,O803 Constant 'CR' is declared but never used
